patch,champion,role,opponent,games,wins,winrate
16.4,Aatrox,BOT,Caitlyn,1,0,0.0
16.4,Ahri,BOT,Hwei,1,0,0.0
16.4,Ahri,BOT,Kaisa,1,0,0.0
16.4,Akshan,BOT,MissFortune,2,2,1.0
16.4,Akshan,BOT,Swain,1,1,1.0
16.4,Akshan,BOT,Tristana,1,0,0.0
16.4,Akshan,BOT,Mel,1,1,1.0
16.4,Ambessa,BOT,Yunara,1,0,0.0
16.4,Anivia,BOT,Brand,1,1,1.0
16.4,Anivia,BOT,Senna,1,0,0.0
16.4,Aphelios,BOT,Jinx,13,8,0.6154
16.4,Aphelios,BOT,Yunara,11,3,0.2727
16.4,Aphelios,BOT,Caitlyn,11,2,0.1818
16.4,Aphelios,BOT,Lucian,10,5,0.5
16.4,Aphelios,BOT,Jhin,10,5,0.5
16.4,Aphelios,BOT,Ashe,9,3,0.3333
16.4,Aphelios,BOT,Twitch,9,6,0.6667
16.4,Aphelios,BOT,Ezreal,8,3,0.375
16.4,Aphelios,BOT,Smolder,8,4,0.5
16.4,Aphelios,BOT,Kaisa,7,5,0.7143
16.4,Aphelios,BOT,Corki,6,3,0.5
16.4,Aphelios,BOT,Xayah,5,2,0.4
16.4,Aphelios,BOT,Yasuo,4,2,0.5
16.4,Aphelios,BOT,Senna,4,0,0.0
16.4,Aphelios,BOT,Vayne,3,3,1.0
16.4,Aphelios,BOT,Samira,3,1,0.3333
16.4,Aphelios,BOT,Seraphine,3,1,0.3333
16.4,Aphelios,BOT,Draven,3,1,0.3333
16.4,Aphelios,BOT,Zeri,2,2,1.0
16.4,Aphelios,BOT,Sivir,2,0,0.0
16.4,Aphelios,BOT,Veigar,2,0,0.0
16.4,Aphelios,BOT,Varus,2,1,0.5
16.4,Aphelios,BOT,Mel,2,1,0.5
16.4,Aphelios,BOT,Nilah,2,1,0.5
16.4,Aphelios,BOT,MissFortune,2,1,0.5
16.4,Aphelios,BOT,Brand,2,0,0.0
16.4,Aphelios,BOT,Rengar,1,1,1.0
16.4,Aphelios,BOT,Syndra,1,1,1.0
16.4,Aphelios,BOT,Lux,1,0,0.0
16.4,Aphelios,BOT,Katarina,1,1,1.0
16.4,Aphelios,BOT,Taliyah,1,0,0.0
16.4,Aphelios,BOT,Ziggs,1,1,1.0
16.4,Aphelios,BOT,Tristana,1,0,0.0
16.4,Aphelios,BOT,Viktor,1,1,1.0
16.4,Aphelios,BOT,KogMaw,1,1,1.0
16.4,Aphelios,BOT,Hwei,1,0,0.0
16.4,Aphelios,BOT,AurelionSol,1,1,1.0
16.4,Ashe,BOT,Caitlyn,22,9,0.4091
16.4,Ashe,BOT,Jinx,18,8,0.4444
16.4,Ashe,BOT,Kaisa,14,7,0.5
16.4,Ashe,BOT,Jhin,12,7,0.5833
16.4,Ashe,BOT,Ezreal,11,6,0.5455
16.4,Ashe,BOT,Yunara,9,6,0.6667
16.4,Ashe,BOT,Aphelios,9,6,0.6667
16.4,Ashe,BOT,Corki,7,3,0.4286
16.4,Ashe,BOT,Lucian,7,5,0.7143
16.4,Ashe,BOT,Sivir,7,2,0.2857
16.4,Ashe,BOT,Draven,6,2,0.3333
16.4,Ashe,BOT,Veigar,5,2,0.4
16.4,Ashe,BOT,Tristana,5,3,0.6
16.4,Ashe,BOT,MissFortune,4,3,0.75
16.4,Ashe,BOT,KogMaw,4,2,0.5
16.4,Ashe,BOT,Twitch,4,2,0.5
16.4,Ashe,BOT,Smolder,4,2,0.5
16.4,Ashe,BOT,Xayah,4,2,0.5
16.4,Ashe,BOT,Varus,4,1,0.25
16.4,Ashe,BOT,Ziggs,3,0,0.0
16.4,Ashe,BOT,Vayne,2,1,0.5
16.4,Ashe,BOT,Senna,2,1,0.5
16.4,Ashe,BOT,AurelionSol,2,1,0.5
16.4,Ashe,BOT,Yasuo,2,0,0.0
16.4,Ashe,BOT,Karthus,2,1,0.5
16.4,Ashe,BOT,Zeri,2,2,1.0
16.4,Ashe,BOT,Samira,2,1,0.5
16.4,Ashe,BOT,Chogath,1,0,0.0
16.4,Ashe,BOT,Cassiopeia,1,0,0.0
16.4,Ashe,BOT,Hwei,1,0,0.0
16.4,Ashe,BOT,Brand,1,0,0.0
16.4,Ashe,BOT,Mel,1,1,1.0
16.4,Ashe,BOT,Rengar,1,0,0.0
16.4,Ashe,BOT,Lux,1,1,1.0
16.4,Ashe,BOT,Nidalee,1,1,1.0
16.4,Ashe,BOT,Nilah,1,1,1.0
16.4,AurelionSol,BOT,Jhin,9,5,0.5556
16.4,AurelionSol,BOT,Kaisa,3,3,1.0
16.4,AurelionSol,BOT,Lucian,2,0,0.0
16.4,AurelionSol,BOT,Yunara,2,1,0.5
16.4,AurelionSol,BOT,Caitlyn,2,1,0.5
16.4,AurelionSol,BOT,Ashe,2,1,0.5
16.4,AurelionSol,BOT,Senna,2,1,0.5
16.4,AurelionSol,BOT,Jinx,2,0,0.0
16.4,AurelionSol,BOT,Smolder,2,1,0.5
16.4,AurelionSol,BOT,Swain,2,1,0.5
16.4,AurelionSol,BOT,Hwei,1,0,0.0
16.4,AurelionSol,BOT,Ezreal,1,1,1.0
16.4,AurelionSol,BOT,Vayne,1,1,1.0
16.4,AurelionSol,BOT,MissFortune,1,1,1.0
16.4,AurelionSol,BOT,Sivir,1,1,1.0
16.4,AurelionSol,BOT,Draven,1,0,0.0
16.4,AurelionSol,BOT,KogMaw,1,0,0.0
16.4,AurelionSol,BOT,Aphelios,1,0,0.0
16.4,AurelionSol,BOT,Tristana,1,0,0.0
16.4,Aurora,BOT,Varus,1,0,0.0
16.4,Aurora,BOT,Lucian,1,1,1.0
16.4,Azir,BOT,Yasuo,1,0,0.0
16.4,Azir,BOT,Ezreal,1,1,1.0
16.4,Brand,BOT,Jinx,6,2,0.3333
16.4,Brand,BOT,Caitlyn,6,3,0.5
16.4,Brand,BOT,Ezreal,5,3,0.6
16.4,Brand,BOT,Sivir,4,3,0.75
16.4,Brand,BOT,MissFortune,3,2,0.6667
16.4,Brand,BOT,Yunara,3,2,0.6667
16.4,Brand,BOT,Senna,3,2,0.6667
16.4,Brand,BOT,Twitch,3,2,0.6667
16.4,Brand,BOT,Jhin,3,2,0.6667
16.4,Brand,BOT,Lucian,2,1,0.5
16.4,Brand,BOT,Varus,2,2,1.0
16.4,Brand,BOT,Draven,2,2,1.0
16.4,Brand,BOT,Aphelios,2,2,1.0
16.4,Brand,BOT,Xayah,1,1,1.0
16.4,Brand,BOT,Smolder,1,0,0.0
16.4,Brand,BOT,Hwei,1,0,0.0
16.4,Brand,BOT,Seraphine,1,1,1.0
16.4,Brand,BOT,Anivia,1,0,0.0
16.4,Brand,BOT,Kaisa,1,0,0.0
16.4,Brand,BOT,Xerath,1,0,0.0
16.4,Brand,BOT,Ziggs,1,0,0.0
16.4,Brand,BOT,Corki,1,0,0.0
16.4,Brand,BOT,Ashe,1,1,1.0
16.4,Brand,BOT,Samira,1,1,1.0
16.4,Brand,BOT,Mel,1,1,1.0
16.4,Brand,BOT,Swain,1,1,1.0
16.4,Brand,BOT,KogMaw,1,1,1.0
16.4,Briar,BOT,Jinx,1,0,0.0
16.4,Caitlyn,BOT,Jinx,34,16,0.4706
16.4,Caitlyn,BOT,Ezreal,27,12,0.4444
16.4,Caitlyn,BOT,Jhin,24,14,0.5833
16.4,Caitlyn,BOT,Ashe,22,13,0.5909
16.4,Caitlyn,BOT,Smolder,17,3,0.1765
16.4,Caitlyn,BOT,Corki,16,7,0.4375
16.4,Caitlyn,BOT,Draven,16,8,0.5
16.4,Caitlyn,BOT,Yunara,14,8,0.5714
16.4,Caitlyn,BOT,Sivir,13,8,0.6154
16.4,Caitlyn,BOT,Kaisa,13,8,0.6154
16.4,Caitlyn,BOT,Lucian,12,8,0.6667
16.4,Caitlyn,BOT,MissFortune,12,7,0.5833
16.4,Caitlyn,BOT,Aphelios,11,9,0.8182
16.4,Caitlyn,BOT,Xayah,11,7,0.6364
16.4,Caitlyn,BOT,Vayne,9,3,0.3333
16.4,Caitlyn,BOT,Veigar,9,3,0.3333
16.4,Caitlyn,BOT,Tristana,8,4,0.5
16.4,Caitlyn,BOT,Varus,8,4,0.5
16.4,Caitlyn,BOT,Yasuo,7,2,0.2857
16.4,Caitlyn,BOT,KogMaw,7,1,0.1429
16.4,Caitlyn,BOT,Samira,6,3,0.5
16.4,Caitlyn,BOT,Brand,6,3,0.5
16.4,Caitlyn,BOT,Senna,5,4,0.8
16.4,Caitlyn,BOT,Seraphine,5,3,0.6
16.4,Caitlyn,BOT,Ziggs,5,2,0.4
16.4,Caitlyn,BOT,Mel,4,1,0.25
16.4,Caitlyn,BOT,Swain,4,1,0.25
16.4,Caitlyn,BOT,Twitch,4,3,0.75
16.4,Caitlyn,BOT,Zeri,3,2,0.6667
16.4,Caitlyn,BOT,Nilah,2,1,0.5
16.4,Caitlyn,BOT,Velkoz,2,1,0.5
16.4,Caitlyn,BOT,Hwei,2,1,0.5
16.4,Caitlyn,BOT,AurelionSol,2,1,0.5
16.4,Caitlyn,BOT,Syndra,1,1,1.0
16.4,Caitlyn,BOT,Lux,1,0,0.0
16.4,Caitlyn,BOT,Kalista,1,1,1.0
16.4,Caitlyn,BOT,Vladimir,1,0,0.0
16.4,Caitlyn,BOT,Xerath,1,1,1.0
16.4,Caitlyn,BOT,Aatrox,1,1,1.0
16.4,Caitlyn,BOT,Kayle,1,1,1.0
16.4,Caitlyn,BOT,Karthus,1,0,0.0
16.4,Caitlyn,BOT,Ryze,1,0,0.0
16.4,Cassiopeia,BOT,Yunara,2,2,1.0
16.4,Cassiopeia,BOT,Ezreal,2,1,0.5
16.4,Cassiopeia,BOT,Ashe,1,1,1.0
16.4,Cassiopeia,BOT,Xayah,1,1,1.0
16.4,Chogath,BOT,Ashe,1,1,1.0
16.4,Chogath,BOT,Ezreal,1,1,1.0
16.4,Corki,BOT,Caitlyn,16,9,0.5625
16.4,Corki,BOT,Yunara,15,8,0.5333
16.4,Corki,BOT,Kaisa,14,11,0.7857
16.4,Corki,BOT,Ezreal,13,5,0.3846
16.4,Corki,BOT,Jhin,10,6,0.6
16.4,Corki,BOT,Ashe,7,4,0.5714
16.4,Corki,BOT,Smolder,7,3,0.4286
16.4,Corki,BOT,Lucian,6,3,0.5
16.4,Corki,BOT,Aphelios,6,3,0.5
16.4,Corki,BOT,Samira,5,3,0.6
16.4,Corki,BOT,Jinx,4,1,0.25
16.4,Corki,BOT,Tristana,4,3,0.75
16.4,Corki,BOT,MissFortune,4,3,0.75
16.4,Corki,BOT,Twitch,4,3,0.75
16.4,Corki,BOT,KogMaw,3,1,0.3333
16.4,Corki,BOT,Xayah,3,1,0.3333
16.4,Corki,BOT,Lux,3,1,0.3333
16.4,Corki,BOT,Draven,3,1,0.3333
16.4,Corki,BOT,Sivir,2,0,0.0
16.4,Corki,BOT,Veigar,2,1,0.5
16.4,Corki,BOT,Vayne,1,0,0.0
16.4,Corki,BOT,Thresh,1,1,1.0
16.4,Corki,BOT,Swain,1,0,0.0
16.4,Corki,BOT,Brand,1,1,1.0
16.4,Corki,BOT,Zeri,1,1,1.0
16.4,Corki,BOT,Yasuo,1,1,1.0
16.4,Corki,BOT,Nilah,1,1,1.0
16.4,Corki,BOT,Mel,1,1,1.0
16.4,Corki,BOT,Varus,1,1,1.0
16.4,Corki,BOT,Nidalee,1,1,1.0
16.4,Corki,BOT,Hwei,1,1,1.0
16.4,Corki,BOT,Irelia,1,0,0.0
16.4,Corki,BOT,Kayle,1,1,1.0
16.4,Corki,BOT,Senna,1,0,0.0
16.4,Corki,BOT,Karthus,1,0,0.0
16.4,Corki,BOT,Syndra,1,1,1.0
16.4,Draven,BOT,Caitlyn,16,8,0.5
16.4,Draven,BOT,Ezreal,12,8,0.6667
16.4,Draven,BOT,Jinx,10,4,0.4
16.4,Draven,BOT,Twitch,10,5,0.5
16.4,Draven,BOT,Kaisa,7,3,0.4286
16.4,Draven,BOT,Ashe,6,4,0.6667
16.4,Draven,BOT,Smolder,6,3,0.5
16.4,Draven,BOT,Lucian,6,3,0.5
16.4,Draven,BOT,Jhin,6,4,0.6667
16.4,Draven,BOT,Xayah,5,4,0.8
16.4,Draven,BOT,MissFortune,5,3,0.6
16.4,Draven,BOT,Yunara,4,1,0.25
16.4,Draven,BOT,Senna,4,2,0.5
16.4,Draven,BOT,Tristana,3,2,0.6667
16.4,Draven,BOT,Varus,3,1,0.3333
16.4,Draven,BOT,Mel,3,2,0.6667
16.4,Draven,BOT,Swain,3,2,0.6667
16.4,Draven,BOT,Sivir,3,1,0.3333
16.4,Draven,BOT,Corki,3,2,0.6667
16.4,Draven,BOT,Aphelios,3,2,0.6667
16.4,Draven,BOT,Brand,2,0,0.0
16.4,Draven,BOT,Veigar,2,2,1.0
16.4,Draven,BOT,Ziggs,1,0,0.0
16.4,Draven,BOT,Vladimir,1,1,1.0
16.4,Draven,BOT,Hwei,1,0,0.0
16.4,Draven,BOT,Zeri,1,0,0.0
16.4,Draven,BOT,Samira,1,0,0.0
16.4,Draven,BOT,Vayne,1,0,0.0
16.4,Draven,BOT,Katarina,1,1,1.0
16.4,Draven,BOT,Lux,1,0,0.0
16.4,Draven,BOT,AurelionSol,1,1,1.0
16.4,Draven,BOT,KogMaw,1,0,0.0
16.4,Draven,BOT,Karthus,1,1,1.0
16.4,Draven,BOT,Kalista,1,1,1.0
16.4,Ekko,BOT,Lucian,1,0,0.0
16.4,Ezreal,BOT,Kaisa,33,18,0.5455
16.4,Ezreal,BOT,Smolder,30,19,0.6333
16.4,Ezreal,BOT,Caitlyn,27,15,0.5556
16.4,Ezreal,BOT,Yunara,24,9,0.375
16.4,Ezreal,BOT,Jhin,21,8,0.381
16.4,Ezreal,BOT,Jinx,18,11,0.6111
16.4,Ezreal,BOT,Xayah,15,5,0.3333
16.4,Ezreal,BOT,Twitch,14,8,0.5714
16.4,Ezreal,BOT,MissFortune,14,9,0.6429
16.4,Ezreal,BOT,Corki,13,8,0.6154
16.4,Ezreal,BOT,Draven,12,4,0.3333
16.4,Ezreal,BOT,Senna,12,4,0.3333
16.4,Ezreal,BOT,Lucian,12,5,0.4167
16.4,Ezreal,BOT,Ashe,11,5,0.4545
16.4,Ezreal,BOT,Vayne,10,3,0.3
16.4,Ezreal,BOT,Sivir,9,5,0.5556
16.4,Ezreal,BOT,Veigar,9,5,0.5556
16.4,Ezreal,BOT,Aphelios,8,5,0.625
16.4,Ezreal,BOT,Varus,8,2,0.25
16.4,Ezreal,BOT,Swain,8,3,0.375
16.4,Ezreal,BOT,Tristana,6,2,0.3333
16.4,Ezreal,BOT,Ziggs,5,3,0.6
16.4,Ezreal,BOT,Yasuo,5,2,0.4
16.4,Ezreal,BOT,Brand,5,2,0.4
16.4,Ezreal,BOT,Hwei,5,3,0.6
16.4,Ezreal,BOT,Samira,3,1,0.3333
16.4,Ezreal,BOT,KogMaw,2,2,1.0
16.4,Ezreal,BOT,Kalista,2,0,0.0
16.4,Ezreal,BOT,Lux,2,0,0.0
16.4,Ezreal,BOT,Velkoz,2,0,0.0
16.4,Ezreal,BOT,Cassiopeia,2,1,0.5
16.4,Ezreal,BOT,Mel,2,1,0.5
16.4,Ezreal,BOT,Karthus,2,0,0.0
16.4,Ezreal,BOT,AurelionSol,1,0,0.0
16.4,Ezreal,BOT,TahmKench,1,0,0.0
16.4,Ezreal,BOT,Seraphine,1,0,0.0
16.4,Ezreal,BOT,Azir,1,0,0.0
16.4,Ezreal,BOT,Zeri,1,1,1.0
16.4,Ezreal,BOT,Kindred,1,0,0.0
16.4,Ezreal,BOT,Katarina,1,1,1.0
16.4,Ezreal,BOT,Chogath,1,0,0.0
16.4,Fiora,BOT,Kaisa,1,0,0.0
16.4,Fizz,BOT,MissFortune,1,1,1.0
16.4,Fizz,BOT,Ziggs,1,1,1.0
16.4,Galio,BOT,Veigar,1,0,0.0
16.4,Garen,BOT,Jhin,1,1,1.0
16.4,Heimerdinger,BOT,Yunara,1,1,1.0
16.4,Heimerdinger,BOT,Sivir,1,1,1.0
16.4,Heimerdinger,BOT,Lucian,1,0,0.0
16.4,Heimerdinger,BOT,Samira,1,1,1.0
16.4,Heimerdinger,BOT,Varus,1,0,0.0
16.4,Hwei,BOT,Kaisa,6,1,0.1667
16.4,Hwei,BOT,Ezreal,5,2,0.4
16.4,Hwei,BOT,Tristana,3,3,1.0
16.4,Hwei,BOT,Smolder,3,2,0.6667
16.4,Hwei,BOT,Caitlyn,2,1,0.5
16.4,Hwei,BOT,Twitch,2,1,0.5
16.4,Hwei,BOT,Xayah,2,1,0.5
16.4,Hwei,BOT,Sivir,2,1,0.5
16.4,Hwei,BOT,Draven,1,1,1.0
16.4,Hwei,BOT,Brand,1,1,1.0
16.4,Hwei,BOT,AurelionSol,1,1,1.0
16.4,Hwei,BOT,Ashe,1,1,1.0
16.4,Hwei,BOT,Swain,1,1,1.0
16.4,Hwei,BOT,Ahri,1,1,1.0
16.4,Hwei,BOT,Jinx,1,1,1.0
16.4,Hwei,BOT,Mel,1,0,0.0
16.4,Hwei,BOT,Karma,1,1,1.0
16.4,Hwei,BOT,Aphelios,1,1,1.0
16.4,Hwei,BOT,Karthus,1,0,0.0
16.4,Hwei,BOT,Corki,1,0,0.0
16.4,Hwei,BOT,Senna,1,1,1.0
16.4,Irelia,BOT,Samira,1,0,0.0
16.4,Irelia,BOT,Yunara,1,0,0.0
16.4,Irelia,BOT,MissFortune,1,1,1.0
16.4,Irelia,BOT,Corki,1,1,1.0
16.4,Jhin,BOT,Kaisa,26,14,0.5385
16.4,Jhin,BOT,Caitlyn,24,10,0.4167
16.4,Jhin,BOT,Ezreal,21,13,0.619
16.4,Jhin,BOT,Yunara,18,11,0.6111
16.4,Jhin,BOT,Jinx,17,5,0.2941
16.4,Jhin,BOT,Ashe,12,5,0.4167
16.4,Jhin,BOT,Smolder,12,6,0.5
16.4,Jhin,BOT,Lucian,10,3,0.3
16.4,Jhin,BOT,Corki,10,4,0.4
16.4,Jhin,BOT,Aphelios,10,5,0.5
16.4,Jhin,BOT,Xayah,9,4,0.4444
16.4,Jhin,BOT,Vayne,9,2,0.2222
16.4,Jhin,BOT,AurelionSol,9,4,0.4444
16.4,Jhin,BOT,MissFortune,7,3,0.4286
16.4,Jhin,BOT,Tristana,6,3,0.5
16.4,Jhin,BOT,Draven,6,2,0.3333
16.4,Jhin,BOT,Varus,5,4,0.8
16.4,Jhin,BOT,Swain,5,2,0.4
16.4,Jhin,BOT,Twitch,5,1,0.2
16.4,Jhin,BOT,Sivir,5,1,0.2
16.4,Jhin,BOT,Zeri,4,3,0.75
16.4,Jhin,BOT,Samira,4,1,0.25
16.4,Jhin,BOT,Seraphine,4,2,0.5
16.4,Jhin,BOT,Velkoz,3,1,0.3333
16.4,Jhin,BOT,Mel,3,1,0.3333
16.4,Jhin,BOT,KogMaw,3,3,1.0
16.4,Jhin,BOT,Veigar,3,2,0.6667
16.4,Jhin,BOT,Brand,3,1,0.3333
16.4,Jhin,BOT,Nilah,2,2,1.0
16.4,Jhin,BOT,Ziggs,2,1,0.5
16.4,Jhin,BOT,Yasuo,2,0,0.0
16.4,Jhin,BOT,Tryndamere,1,1,1.0
16.4,Jhin,BOT,Garen,1,0,0.0
16.4,Jhin,BOT,Syndra,1,0,0.0
16.4,Jhin,BOT,Teemo,1,1,1.0
16.4,Jhin,BOT,Morgana,1,1,1.0
16.4,Jhin,BOT,Karma,1,1,1.0
16.4,Jhin,BOT,Xerath,1,0,0.0
16.4,Jhin,BOT,Lux,1,0,0.0
16.4,Jhin,BOT,Senna,1,0,0.0
16.4,Jhin,BOT,Malzahar,1,1,1.0
16.4,Jhin,BOT,Vladimir,1,0,0.0
16.4,Jhin,BOT,Katarina,1,0,0.0
16.4,Jhin,BOT,Karthus,1,1,1.0
16.4,Jinx,BOT,Caitlyn,34,18,0.5294
16.4,Jinx,BOT,Smolder,28,14,0.5
16.4,Jinx,BOT,Yunara,25,10,0.4
16.4,Jinx,BOT,Ashe,18,10,0.5556
16.4,Jinx,BOT,Ezreal,18,7,0.3889
16.4,Jinx,BOT,Jhin,17,12,0.7059
16.4,Jinx,BOT,Kaisa,14,7,0.5
16.4,Jinx,BOT,Vayne,13,5,0.3846
16.4,Jinx,BOT,Xayah,13,7,0.5385
16.4,Jinx,BOT,Aphelios,13,5,0.3846
16.4,Jinx,BOT,Twitch,12,3,0.25
16.4,Jinx,BOT,Tristana,11,3,0.2727
16.4,Jinx,BOT,Sivir,10,6,0.6
16.4,Jinx,BOT,Lucian,10,4,0.4
16.4,Jinx,BOT,Draven,10,6,0.6
16.4,Jinx,BOT,KogMaw,8,3,0.375
16.4,Jinx,BOT,MissFortune,8,4,0.5
16.4,Jinx,BOT,Senna,8,4,0.5
16.4,Jinx,BOT,Varus,7,5,0.7143
16.4,Jinx,BOT,Seraphine,6,2,0.3333
16.4,Jinx,BOT,Brand,6,4,0.6667
16.4,Jinx,BOT,Mel,6,2,0.3333
16.4,Jinx,BOT,Samira,6,3,0.5
16.4,Jinx,BOT,Corki,4,3,0.75
16.4,Jinx,BOT,Lux,4,3,0.75
16.4,Jinx,BOT,Swain,4,1,0.25
16.4,Jinx,BOT,Zeri,3,3,1.0
16.4,Jinx,BOT,Veigar,3,2,0.6667
16.4,Jinx,BOT,Karthus,2,1,0.5
16.4,Jinx,BOT,Nilah,2,1,0.5
16.4,Jinx,BOT,AurelionSol,2,2,1.0
16.4,Jinx,BOT,Velkoz,2,1,0.5
16.4,Jinx,BOT,Vladimir,2,2,1.0
16.4,Jinx,BOT,Briar,1,1,1.0
16.4,Jinx,BOT,Kindred,1,1,1.0
16.4,Jinx,BOT,Sett,1,0,0.0
16.4,Jinx,BOT,Kalista,1,1,1.0
16.4,Jinx,BOT,Malzahar,1,0,0.0
16.4,Jinx,BOT,Morgana,1,1,1.0
16.4,Jinx,BOT,Hwei,1,0,0.0
16.4,Jinx,BOT,Ziggs,1,1,1.0
16.4,Jinx,BOT,Yasuo,1,0,0.0
16.4,Kaisa,BOT,Ezreal,33,14,0.4242
16.4,Kaisa,BOT,Jhin,26,12,0.4615
16.4,Kaisa,BOT,Yunara,26,11,0.4231
16.4,Kaisa,BOT,Lucian,17,5,0.2941
16.4,Kaisa,BOT,Corki,14,3,0.2143
16.4,Kaisa,BOT,Jinx,14,7,0.5
16.4,Kaisa,BOT,Ashe,14,7,0.5
16.4,Kaisa,BOT,Smolder,14,9,0.6429
16.4,Kaisa,BOT,Caitlyn,13,5,0.3846
16.4,Kaisa,BOT,Xayah,13,5,0.3846
16.4,Kaisa,BOT,Vayne,11,7,0.6364
16.4,Kaisa,BOT,Sivir,10,6,0.6
16.4,Kaisa,BOT,MissFortune,8,5,0.625
16.4,Kaisa,BOT,Swain,8,5,0.625
16.4,Kaisa,BOT,Varus,8,4,0.5
16.4,Kaisa,BOT,Senna,8,5,0.625
16.4,Kaisa,BOT,Samira,7,4,0.5714
16.4,Kaisa,BOT,Twitch,7,4,0.5714
16.4,Kaisa,BOT,Aphelios,7,2,0.2857
16.4,Kaisa,BOT,Draven,7,4,0.5714
16.4,Kaisa,BOT,Tristana,6,1,0.1667
16.4,Kaisa,BOT,Hwei,6,5,0.8333
16.4,Kaisa,BOT,Veigar,5,4,0.8
16.4,Kaisa,BOT,Seraphine,5,1,0.2
16.4,Kaisa,BOT,KogMaw,4,1,0.25
16.4,Kaisa,BOT,Mel,3,2,0.6667
16.4,Kaisa,BOT,Yasuo,3,0,0.0
16.4,Kaisa,BOT,AurelionSol,3,0,0.0
16.4,Kaisa,BOT,Xerath,2,1,0.5
16.4,Kaisa,BOT,Nilah,2,0,0.0
16.4,Kaisa,BOT,Velkoz,2,0,0.0
16.4,Kaisa,BOT,Lux,2,1,0.5
16.4,Kaisa,BOT,Brand,1,1,1.0
16.4,Kaisa,BOT,Kalista,1,0,0.0
16.4,Kaisa,BOT,Olaf,1,0,0.0
16.4,Kaisa,BOT,Katarina,1,0,0.0
16.4,Kaisa,BOT,Ahri,1,1,1.0
16.4,Kaisa,BOT,Ziggs,1,0,0.0
16.4,Kaisa,BOT,Orianna,1,0,0.0
16.4,Kaisa,BOT,Syndra,1,1,1.0
16.4,Kaisa,BOT,Fiora,1,1,1.0
16.4,Kaisa,BOT,Vladimir,1,0,0.0
16.4,Kaisa,BOT,Udyr,1,1,1.0
16.4,Kaisa,BOT,Viktor,1,1,1.0
16.4,Kaisa,BOT,Zyra,1,1,1.0
16.4,Kalista,BOT,MissFortune,3,0,0.0
16.4,Kalista,BOT,Ezreal,2,2,1.0
16.4,Kalista,BOT,Yunara,2,0,0.0
16.4,Kalista,BOT,Veigar,1,1,1.0
16.4,Kalista,BOT,Lucian,1,0,0.0
16.4,Kalista,BOT,Jinx,1,0,0.0
16.4,Kalista,BOT,Caitlyn,1,0,0.0
16.4,Kalista,BOT,Kaisa,1,1,1.0
16.4,Kalista,BOT,Syndra,1,1,1.0
16.4,Kalista,BOT,Tristana,1,0,0.0
16.4,Kalista,BOT,Draven,1,0,0.0
16.4,Karma,BOT,Jhin,1,0,0.0
16.4,Karma,BOT,Hwei,1,0,0.0
16.4,Karthus,BOT,Jinx,2,1,0.5
16.4,Karthus,BOT,Ashe,2,1,0.5
16.4,Karthus,BOT,Ezreal,2,2,1.0
16.4,Karthus,BOT,Lucian,1,1,1.0
16.4,Karthus,BOT,Yunara,1,1,1.0
16.4,Karthus,BOT,Tristana,1,0,0.0
16.4,Karthus,BOT,MissFortune,1,0,0.0
16.4,Karthus,BOT,Hwei,1,1,1.0
16.4,Karthus,BOT,Smolder,1,1,1.0
16.4,Karthus,BOT,Corki,1,1,1.0
16.4,Karthus,BOT,Draven,1,0,0.0
16.4,Karthus,BOT,Caitlyn,1,1,1.0
16.4,Karthus,BOT,Tryndamere,1,1,1.0
16.4,Karthus,BOT,Jhin,1,0,0.0
16.4,Katarina,BOT,Yunara,1,0,0.0
16.4,Katarina,BOT,Aphelios,1,0,0.0
16.4,Katarina,BOT,Kaisa,1,1,1.0
16.4,Katarina,BOT,Draven,1,0,0.0
16.4,Katarina,BOT,Ezreal,1,0,0.0
16.4,Katarina,BOT,Vayne,1,0,0.0
16.4,Katarina,BOT,Smolder,1,1,1.0
16.4,Katarina,BOT,Jhin,1,1,1.0
16.4,Kayle,BOT,Sivir,1,1,1.0
16.4,Kayle,BOT,MissFortune,1,0,0.0
16.4,Kayle,BOT,Corki,1,0,0.0
16.4,Kayle,BOT,Caitlyn,1,0,0.0
16.4,Kindred,BOT,Jinx,1,0,0.0
16.4,Kindred,BOT,Ezreal,1,1,1.0
16.4,KogMaw,BOT,Jinx,8,5,0.625
16.4,KogMaw,BOT,Caitlyn,7,6,0.8571
16.4,KogMaw,BOT,Smolder,6,3,0.5
16.4,KogMaw,BOT,Kaisa,4,3,0.75
16.4,KogMaw,BOT,Ashe,4,2,0.5
16.4,KogMaw,BOT,Sivir,4,2,0.5
16.4,KogMaw,BOT,Corki,3,2,0.6667
16.4,KogMaw,BOT,Jhin,3,0,0.0
16.4,KogMaw,BOT,Lucian,3,2,0.6667
16.4,KogMaw,BOT,Twitch,3,3,1.0
16.4,KogMaw,BOT,Xayah,3,2,0.6667
16.4,KogMaw,BOT,Ezreal,2,0,0.0
16.4,KogMaw,BOT,Yunara,2,0,0.0
16.4,KogMaw,BOT,Varus,2,2,1.0
16.4,KogMaw,BOT,MissFortune,2,1,0.5
16.4,KogMaw,BOT,Samira,1,0,0.0
16.4,KogMaw,BOT,Aphelios,1,0,0.0
16.4,KogMaw,BOT,Yasuo,1,1,1.0
16.4,KogMaw,BOT,AurelionSol,1,1,1.0
16.4,KogMaw,BOT,Draven,1,1,1.0
16.4,KogMaw,BOT,Senna,1,0,0.0
