champion,name,stat,old,new,delta,pct_change,from_patch,to_patch
DrMundo,Dr. Mundo,armorperlevel,3.7,4.5,0.8,21.62,15.20.1,15.21.1
Ezreal,Ezreal,attackdamageperlevel,2.75,3.25,0.5,18.18,15.20.1,15.21.1
Graves,Graves,spellblock,32.0,30.0,-2.0,-6.25,15.20.1,15.21.1
Graves,Graves,spellblockperlevel,2.05,1.3,-0.75,-36.59,15.20.1,15.21.1
Gwen,Gwen,hp,600.0,620.0,20.0,3.33,15.20.1,15.21.1
Gwen,Gwen,hpperlevel,110.0,115.0,5.0,4.55,15.20.1,15.21.1
Gwen,Gwen,armor,33.0,39.0,6.0,18.18,15.20.1,15.21.1
Gwen,Gwen,attackspeedperlevel,2.5,2.25,-0.25,-10.0,15.20.1,15.21.1
Kalista,Kalista,attackdamageperlevel,4.25,4.75,0.5,11.76,15.20.1,15.21.1
Morgana,Morgana,armorperlevel,5.0,4.2,-0.8,-16.0,15.20.1,15.21.1
Qiyana,Qiyana,hpperlevel,124.0,121.0,-3.0,-2.42,15.20.1,15.21.1
Yone,Yone,attackdamage,60.0,62.0,2.0,3.33,15.20.1,15.21.1
