champion,name,stat,old,new,delta,pct_change,from_patch,to_patch
Ashe,Ashe,attackdamageperlevel,3.45,3.0,-0.45,-13.04,15.24.1,16.1.1
Ashe,Ashe,attackspeedperlevel,3.33,3.0,-0.33,-9.91,15.24.1,16.1.1
Cassiopeia,Cassiopeia,movespeed,328.0,335.0,7.0,2.13,15.24.1,16.1.1
Draven,Draven,attackdamageperlevel,3.6,3.0,-0.6,-16.67,15.24.1,16.1.1
Jinx,Jinx,attackspeedperlevel,1.4,1.0,-0.4,-28.57,15.24.1,16.1.1
Lucian,Lucian,attackdamageperlevel,2.9,2.5,-0.4,-13.79,15.24.1,16.1.1
Lucian,Lucian,attackspeedperlevel,3.3,2.5,-0.8,-24.24,15.24.1,16.1.1
MissFortune,Miss Fortune,hp,640.0,625.0,-15.0,-2.34,15.24.1,16.1.1
MissFortune,Miss Fortune,hpperlevel,103.0,100.0,-3.0,-2.91,15.24.1,16.1.1
Nilah,Nilah,attackspeedperlevel,2.25,2.0,-0.25,-11.11,15.24.1,16.1.1
Twitch,Twitch,attackdamageperlevel,3.1,3.0,-0.1,-3.23,15.24.1,16.1.1
Twitch,Twitch,attackspeedperlevel,3.38,3.0,-0.38,-11.24,15.24.1,16.1.1
